
Image Name                     PID Session Name        Session#    Mem Usage
sihost.exe                   18484 Console                   19     21,336 K
svchost.exe                   2656 Console                   19      2,040 K
svchost.exe                  15696 Console                   19     13,816 K
svchost.exe                  13712 Console                   19      2,024 K
svchost.exe                  22072 Console                   19     23,788 K
taskhostw.exe                 8588 Console                   19      7,424 K
explorer.exe                 16728 Console                   19   1,51,304 K
CrossDeviceResume.exe         5640 Console                   19      4,940 K
taskhostw.exe                20508 Console                   19      8,896 K
svchost.exe                  15364 Console                   19     10,356 K
SearchHost.exe               24564 Console                   19     47,740 K
StartMenuExperienceHost.e     3840 Console                   19     18,152 K
WidgetBoard.exe              20964 Console                   19     38,888 K
svchost.exe                   5820 Console                   19      4,600 K
WidgetService.exe            14988 Console                   19      9,828 K
msedgewebview2.exe            2604 Console                   19     14,792 K
msedgewebview2.exe           18220 Console                   19        764 K
msedgewebview2.exe           13320 Console                   19      4,828 K
msedgewebview2.exe            7848 Console                   19     11,012 K
msedgewebview2.exe           15620 Console                   19         16 K
msedgewebview2.exe            9560 Console                   19        672 K
MicrosoftStartFeedProvide    18112 Console                   19     19,548 K
ctfmon.exe                   11580 Console                   19     14,484 K
SecurityHealthSystray.exe    17284 Console                   19      2,132 K
ApplicationFrameHost.exe     14924 Console                   19      4,304 K
SystemSettings.exe            5704 Console                   19         20 K
svchost.exe                   4932 Console                   19      5,500 K
UserOOBEBroker.exe            9260 Console                   19      1,904 K
Antigravity.exe               9296 Console                   19   1,23,088 K
Antigravity.exe              17820 Console                   19      1,608 K
Antigravity.exe              20432 Console                   19   1,05,628 K
Antigravity.exe              14492 Console                   19     19,116 K
Antigravity.exe               6524 Console                   19   3,93,188 K
Antigravity.exe              10944 Console                   19     61,464 K
Antigravity.exe               6728 Console                   19      4,120 K
Antigravity.exe              16012 Console                   19      6,636 K
Antigravity.exe               8936 Console                   19     48,296 K
Antigravity.exe               2988 Console                   19   1,29,184 K
Antigravity.exe               6124 Console                   19     31,424 K
Antigravity.exe              11216 Console                   19     27,156 K
conhost.exe                  10116 Console                   19      1,968 K
powershell.exe               15840 Console                   19     37,076 K
language_server_windows_x     8652 Console                   19   5,85,608 K
conhost.exe                  13752 Console                   19        232 K
Antigravity.exe              12816 Console                   19      4,360 K
Antigravity.exe              10848 Console                   19      6,288 K
Antigravity.exe               9256 Console                   19     11,120 K
Antigravity.exe              21496 Console                   19      4,704 K
Antigravity.exe              14724 Console                   19      4,560 K
Antigravity.exe              20916 Console                   19      4,220 K
Antigravity.exe               7944 Console                   19      1,684 K
RtkAudUService64.exe         22824 Console                   19      3,548 K
OneDrive.exe                 23804 Console                   19   1,20,888 K
svchost.exe                   6152 Console                   19      2,384 K
msedgewebview2.exe           19776 Console                   19     46,756 K
msedgewebview2.exe           24212 Console                   19        976 K
msedgewebview2.exe           21700 Console                   19     24,112 K
msedgewebview2.exe           16076 Console                   19     26,496 K
msedgewebview2.exe           15960 Console                   19      3,784 K
msedgewebview2.exe            2624 Console                   19      4,228 K
msedgewebview2.exe           10096 Console                   19     47,436 K
Copilot.exe                  15644 Console                   19     25,152 K
M365Copilot.exe               1920 Console                   19     22,624 K
RuntimeBroker.exe            23752 Console                   19      2,348 K
msedgewebview2.exe            2348 Console                   19     14,584 K
msedgewebview2.exe           20136 Console                   19      1,000 K
msedgewebview2.exe            9780 Console                   19      4,668 K
msedgewebview2.exe            6352 Console                   19      9,452 K
msedgewebview2.exe            7724 Console                   19        180 K
msedgewebview2.exe            8940 Console                   19        708 K
ONENOTEM.EXE                 20016 Console                   19        228 K
jusched.exe                  13356 Console                   19        128 K
OneDrive.Sync.Service.exe     4912 Console                   19      9,064 K
AppActions.exe               21412 Console                   19      8,716 K
ShellExperienceHost.exe      15716 Console                   19     39,172 K
RuntimeBroker.exe            16912 Console                   19     24,144 K
svchost.exe                  12800 Console                   19      5,984 K
svchost.exe                  18744 Services                   0      4,528 K
svchost.exe                  25044 Services                   0      2,080 K
conhost.exe                  23828 Console                   19      8,332 K
powershell.exe               24848 Console                   19     76,936 K
ShellHost.exe                17716 Console                   19   1,38,128 K
conhost.exe                  12064 Console                   19      8,464 K
powershell.exe               22340 Console                   19     58,372 K
node.exe                     12032 Console                   19     43,104 K
cmd.exe                      16988 Console                   19      6,352 K
node.exe                     25080 Console                   19     39,908 K
cmd.exe                       1164 Console                   19      6,624 K
node.exe                     11472 Console                   19     94,324 K
conhost.exe                   7708 Console                   19      8,480 K
powershell.exe                3764 Console                   19     61,108 K
node.exe                     19556 Console                   19     41,464 K
cmd.exe                       8008 Console                   19      6,500 K
node.exe                     21156 Console                   19     83,504 K
esbuild.exe                  19136 Console                   19     13,356 K
chrome.exe                    3960 Console                   19   2,38,588 K
chrome.exe                   12504 Console                   19      9,768 K
chrome.exe                    8084 Console                   19   1,89,820 K
chrome.exe                   11948 Console                   19     59,516 K
